产品名称;产品编码;规格型号;库位号;成本价;销售价;寄卖时间点;保留价;地区;收货人;客户;到库时间;结款日期;计量单位;上期结存(数量);本期收入(数量);本期发出(数量);本期结存(数量)
96新 LV公文包 五金磨损 ;BE265 ;钥匙 锁 标签 ; ;2500 ; ; ; ;上海 ;兰岚 ;C00665 ;（是）2017/1/5 ; ;个 ;1 ;0 ;0 ;1 
9新Prada手提包 ;BE269 ;无 ; ;2500 ; ; ; ;上海 ;兰岚 ;C00665 ;（是）2017/1/5 ; ;个 ;1 ;0 ;0 ;1 
95新ANTEPRIA黑白编织包 ;BE270 ;防尘袋 ; ;400 ; ; ; ;上海 ;兰岚 ;C00665 ;（是）2017/1/5 ; ;个 ;1 ;0 ;0 ;1 
95新Fendi玫粉色手提单肩包 ;BE271 ;肩带 纸卡 ; ;4000 ; ; ; ;上海 ;兰岚 ;上家 ;（是）2017/1/5 ; ;个 ;1 ;0 ;0 ;1 
98新MCM红色满天星双肩包 ;BE272 ;身份卡 ; ;5000 ; ; ;5600 ;上海 ;姐姐 ;姐姐 ;（是）2017/1/5 ; ;个 ;1 ;0 ;0 ;1 
95新MCM黑色双肩包 尺寸：27*13*3 ;BE275 ;防尘袋 发票 说明书 ; ;2500 ; ; ; ;上海 ;兰岚 ;C01356 ;（是）2017/1/5 ; ;个 ;1 ;0 ;0 ;1 
95新Chloe拼色单肩包 尺寸：23*10*1 ;BE279 ;说明书 身份卡 肩带 ; ;5000 ; ; ; ;上海 ;兰岚 ;C00787 ;(是)2017/1/7 ; ;个 ;1 ;0 ;0 ;1 
98新宝格丽粉色单肩包 尺寸：26*8* ;BE280 ;防尘袋 说明书 防雨袋 ; ;7000 ; ; ; ;上海 ;兰岚 ;C00787 ;（是）2017/1/7 ; ;个 ;1 ;0 ;0 ;1 
9新lv白三彩手提包 ;BE281 ;防尘袋 ; ;2000 ; ; ; ;上海 ;颜熹 ;C01362 ;（是）2017/1/11 ; ;个 ;1 ;0 ;0 ;1 
棋盘格中单肩斜跨包 ;BE310 ;无 ; ;2500 ; ; ; ;上海 ;光头 ;光头 ;（是）2017/2/7 ; ;个 ;1 ;0 ;0 ;1 
棋牌格大单肩斜跨包 ;BE311 ;卡片条码 ; ;4500 ; ; ; ;上海 ;光头 ;光头 ;（是）2017/2/7 ; ;个 ;1 ;0 ;0 ;1 
LV丹宁布 ;BE313 ;无 ; ;2500 ; ; ; ;上海 ;光头 ;光头 ;（是）2017/2/7 ; ;个 ;1 ;0 ;0 ;1 
Chanel链条包 ;BE319 ;无 ; ;3800 ; ; ; ;上海 ;光头 ;光头 ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
未使用 ysl so black鱼 ;旧B0799新BE320 ;防尘袋 肩带 钥匙锁 配皮 ; ;8000 ;9999 ;9500 ; ;上海 ;公司 ;C00796 ;2016/1/24 ; ;个 ;1 ;0 ;0 ;1 
全新 dior限量款亮片手提单肩包 ;旧B0851新BE321 ;防尘袋 吊牌 身份卡 说明卡 ; ;18000 ;19000 ; ; ;上海 ;颜（寄卖） ;C00858 ;2016/5/3 ; ;个 ;1 ;0 ;0 ;1 
BV 全新黑色牛皮经典编织手提包 ;旧B0997新BE322 ;防尘袋 纸卡 ; ;9800 ;12000 ;11000 ; ;上海 ;颜（寄卖） ;C00858 ;2016/8/25 ; ;个 ;1 ;0 ;0 ;1 
全新 prada黑色十字纹手拿包 ;旧B0996新BE323 ;防尘袋 手柄 身份卡 纸卡 ; ;5800 ;6999 ;6500 ; ;上海 ;颜（寄卖） ;C00858 ;2016/8/25 ; ;个 ;1 ;0 ;0 ;1 
全新 mcm单肩斜跨休闲包 ;旧B1046新BE326 ;防尘袋 纸卡 ; ;2000 ;2500 ;2200 ; ;厦门 ;颜（寄卖） ;C00702 ;2016/9/21 ; ;个 ;1 ;0 ;0 ;1 
98新 dior限量款白色羊皮手 ;旧BB1114新BE329 ;防尘袋 肩带 身份卡 说明书 ; ;12000 ;17000 ;16500 ; ;上海 ;提香奢品工坊 ;提香奢品工坊 ;2016/10/18 ; ;个 ;1 ;0 ;0 ;1 
全新 LANCEL宝蓝色鳄鱼纹手提 ;旧B0025新BE330 ;防尘袋 ; ;2000 ;2999 ;2000 ; ;厦门 ;颜熹 ; ;2015/3/22 ; ;个 ;1 ;0 ;0 ;1 
全新 cf片双肩包 ;旧AB0833新BE332 ;防尘袋 ; ;2250 ;2499 ;2500 ; ;厦门 ;公司 ;P0270 ;2016/4/26 ; ;个 ;1 ;0 ;0 ;1 
全新 dg大象灰ipad套 ;旧B0980新BE333 ;无 ; ;500 ;666 ;700 ; ;厦门 ;颜（寄卖） ; ;2016/6/30 ; ;个 ;1 ;0 ;0 ;1 
98新 hermes深红棕色超大号 ;旧B0912新BE334 ;钥匙 锁 ; ;12000 ;15000 ;13000 ; ;厦门 ;颜（回收） ; ;2016/7/13 ; ;个 ;1 ;0 ;0 ;1 
全新 ysl红色小号风琴包手提单肩 ;旧B0999新BE335 ;防尘袋 肩带 钥匙 锁 说明书 配皮 ; ;9500 ;10800 ;10000 ; ;厦门 ;颜（寄卖） ;C00858 ;2016/8/25 ; ;个 ;1 ;0 ;0 ;1 
93新 gucci藏蓝色全皮男士双 ;旧B0966新BE336 ;无 ; ; ;5800 ;5200 ; ;厦门 ;颜（寄卖） ; ;2016/8/2 ; ;个 ;1 ;0 ;0 ;1 
9新 prada水湖蓝褶皱单肩斜跨 ;旧B1192新BE339 ;无 ; ;800 ;1100 ;1100 ;1100 ;厦门 ;琪（寄卖） ;C01244 ;2016/12/6 ; ;个 ;1 ;0 ;0 ;1 
全新 moschino洗衣袋双肩包 ;旧B1226新BE341 ;防尘袋 ; ;2000 ;2500 ;2400 ;2300 ;厦门 ;颜熹 ;颜熹 ;2016/12/30 ; ;个 ;1 ;0 ;0 ;1 
全新 mcm拉杆箱 ;旧B1257新BE346 ;钥匙 锁 ; ;3000 ;3999 ; ; ;厦门 ;颜（寄卖） ;v信颜熙 ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
二手 lv防水小牛皮手提单肩包 ;旧B1258新BE347 ;无 ; ;8000 ;8999 ; ; ;厦门 ;颜（寄卖） ;v信颜熙 ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
98新Gucci零钱钥匙包 ;BF005 ;盒子、说明书、卡片、小票 ; ;1000 ;1200 ;1200 ; ;上海 ; ;C00267 ;2016/1/8 ; ;个 ;1 ;0 ;0 ;1 
YSL黄色手拿包24* 11.5*2 ;BF026 ;无 ; ;1600 ;2300 ;2200 ;2200 ;上海 ;兰岚 ;P0141 ;（是）2016/11/1 ; ;个 ;1 ;0 ;0 ;1 
95新 gucci浅蓝色长款钱包 ;BF057 ;无 ; ;500 ;799 ;799 ; ;上海 ;琪（寄卖） ;C01115 ;（是）2016/11/17 ; ;个 ;1 ;0 ;0 ;1 
棋盘格钱包 ;BF067 ;无 ; ;2500 ; ; ; ;上海 ;光头 ;光头 ;（是）2017/2/7 ; ;个 ;1 ;0 ;0 ;1 
未使用 lv枣红色全皮长款钱包 ;旧Bp295新BF079 ;盒子 防尘袋 ; ;3893 ;4500 ;4400 ;4300 ;厦门 ;颜熹 ;P0317 ;2016/12/20 ; ;个 ;1 ;0 ;0 ;1 
二手 9新 bv经典编织长款拉链钱 ;旧Bp299新BF082 ;无 ; ;1100 ;1280 ; ; ;厦门 ;颜（寄卖） ;颜熙 ;2017/1/3 ; ;个 ;1 ;0 ;0 ;1 
全新 lv男士全皮对折钱包 ;BF088 ;防尘袋 ; ;2430 ;2999 ;2900 ;2800 ;厦门 ;lv店员 ;lv店员 ;2016/12/20 ; ;个 ;1 ;0 ;0 ;1 
未使用Hermes小猪鼻皮带（85） ;BC009 ;盒子、防尘袋 ; ;4500 ;5300 ;4800 ; ;厦门 ; ;颜熹 ;（是）2016/2/2 ; ;个 ;1 ;0 ;0 ;1 
gucci女士腰带90 ;旧BA0155新BC021 ;无 ; ;600 ;800 ;700 ; ;厦门 ;颜（寄卖） ;C00003 ;2016/5/22 ; ;个 ;1 ;0 ;0 ;1 
未使用 burberry女士中间 ;旧BA0167新BC022 ;盒子 防尘袋 吊牌 ; ;1000 ;1400 ; ; ;厦门 ;颜（寄卖） ;C00873 ;2016/7/20 ; ;个 ;1 ;0 ;0 ;1 
全新 gucci男士经典压花腰带 ;旧BA0172新BC023 ;纸卡 ; ;1500 ;2200 ; ; ;厦门 ;颜（寄卖） ;C00702 ;2016/8/8 ; ;个 ;1 ;0 ;0 ;1 
93新以上hermes银扣黄色9 ;旧A0061新BC024 ;无 ; ;3000 ;3499 ; ; ;厦门 ;颜熹寄卖 ; ;2015/6/19 ; ;个 ;1 ;0 ;0 ;1 
全新 versace鳄鱼压纹深蓝 ;旧BA0161新BCO27 ;防尘袋 ; ;2000 ;2500 ; ; ;厦门 ;颜（寄卖） ; ;2016/6/25 ; ;个 ;1 ;0 ;0 ;1 
浪琴手表 ;BA004 ;无 ; ;6500 ; ; ; ;上海 ;兰岚 ;C00026 ;（是）2016/9/18 ; ;个 ;1 ;0 ;0 ;1 
