产品名称;产品编码;规格型号;库位号;成本价;销售价;寄卖时间点;保留价;地区;收货人;客户;到库时间;结款日期;计量单位;上期结存(数量);本期收入(数量);本期发出(数量);本期结存(数量)
新 lv男士红色拼色翻毛皮一脚蹬 ;旧BA0239新BG054 ;鞋盒 防尘袋 说明书 ; ;2100 ;2999 ;2800 ; ;厦门 ;LV店员 ;LV店员 ;2016/5/23 ; ;双 ;1 ;0 ;0 ;1 
全新 lv帆船系列藏蓝色翻毛皮一 ;旧BA0236新BG056 ;鞋盒 防尘袋 ; ;2100 ;2999 ;2800 ; ;厦门 ;LV店员 ;LV店员 ;2016/5/23 ; ;双 ;1 ;0 ;0 ;1 
全新 hermes黑色经典拖鞋4 ;旧BA0260新BG146 ;防尘袋 ; ;3500 ;4200 ;4000 ; ;厦门 ;颜（寄卖） ;C01126 ;2016/7/14 ; ;双 ;1 ;0 ;0 ;1 
全新 sr黑色全皮中邦高跟鞋3 ;旧BA0285新BG061 ;鞋盒 ; ;2000 ;2999 ;2700 ; ;厦门 ; ;C00950 ;2016/8/9 ; ;双 ;1 ;0 ;0 ;1 
未使用 prada紫色翻毛皮高跟 ;旧BA0281新BG062 ;防尘袋 ; ;1500 ;1999降价1500 ;1700 ; ;厦门 ;颜（寄卖） ;C00950 ;2016/8/9 ; ;双 ;1 ;0 ;0 ;1 
全新 dior气质灰丝绸面料配花 ;旧BA0284新BG063 ;鞋盒 防尘袋 ; ;2500 ;3500 ;3200 ; ;厦门 ;颜（寄卖） ;C00950 ;2016/8/9 ; ;双 ;1 ;0 ;0 ;1 
全新 dior天空蓝翻毛皮马蹄跟高跟鞋35.5（7.5cm） ;旧BA0286新BG064 ;鞋盒 防尘袋 ; ;2500 ;3500降价2999 ;3200 ; ;厦门 ; ;C00950 ;2016/8/9 ; ;双 ;1 ;0 ;0 ;1 
Miumiu黑色翻毛皮高跟鞋36.5（11.5） ;旧BA0277新BG065 ;防尘袋 ; ;1500 ;2500降价1999 ;2200 ; ;厦门 ;颜（寄卖） ;C00950 ;2016/8/9 ; ;双 ;1 ;0 ;0 ;1 
未使用 miumiu全皮裸色配花 ;新BA0279新BG067 ;鞋盒 防尘袋 ; ;2000 ;2999 ;2700 ; ;厦门 ;颜（寄卖） ;C00950 ;2016/8/9 ; ;双 ;1 ;0 ;0 ;1 
全新 prada宝石蓝翻毛皮高跟 ;旧BA0280新BG068 ;无 ; ;2000 ;2999 ;2700 ; ;厦门 ;颜（寄卖） ;C00950 ;2016/8/9 ; ;双 ;1 ;0 ;0 ;1 
全新 miumiu香槟金丝绸面料 ;旧BA0282新BG069 ;鞋盒 防尘袋 ; ;2000 ;3500 ;3200 ; ;厦门 ; ;C00950 ;2016/8/9 ; ;双 ;1 ;0 ;0 ;1 
全新 chanel黑色羊皮鱼嘴高跟 ;旧Bp258新BG079 ;无 ; ;2000 ;2500 ;2400 ; ;厦门 ;颜熹翅膀（寄卖） ;C00003 ;2016/10/13 ; ;双 ;1 ;0 ;0 ;1 
全新 gucci黑色全皮压花马蹄扣 ;旧Bp259新BG080 ;无 ; ;1000 ;1500 ;1400 ; ;厦门 ;颜熹 翅膀（寄卖） ;C00003 ;2016/10/13 ; ;双 ;1 ;0 ;0 ;1 
未使用 fendi鱼嘴高跟凉鞋35 ;旧Bp260新BG081 ;无 ; ;500 ;999 ;999 ; ;厦门 ;颜熹 翅膀（寄卖） ;C00003 ;2016/10/13 ; ;双 ;1 ;0 ;0 ;1 
全新 gucci帆布花卉配马蹄扣鱼 ;旧Bp256新BG082 ;无 ; ;1000 ;1500 ;1400 ; ;厦门 ;颜熹翅膀（寄卖） ;C00003 ;2016/10/13 ; ;双 ;1 ;0 ;0 ;1 
cl白色铆钉40半 ;旧BA0068新BG085 ;无 ; ;1500 ;1500 ; ; ;厦门 ;颜（寄卖） ; ;2015/7/16 ; ;双 ;1 ;0 ;0 ;1 
rv宝蓝色翻毛皮38.5 ;旧BS0014新BG086 ;无 ; ;1000 ;800 ; ; ;厦门 ;颜（寄卖） ; ;2015/5/13 ; ;双 ;1 ;0 ;0 ;1 
ARMANI黑色41 ;旧BA0101新BG087 ;防尘袋 说明书 ; ;2000 ;2500 ; ; ;厦门 ;颜（寄卖） ; ;2015/8/28 ; ;双 ;1 ;0 ;0 ;1 
DG黑色鞋子41 ;旧BA0131新BG088 ;盒子 防尘袋 ; ;1800 ;2500 ; ; ;厦门 ;颜（寄卖） ; ;2015/10/15 ; ;双 ;1 ;0 ;0 ;1 
lv女士黑色配金扣豆豆鞋36 ;旧BA0134新BG089 ;盒子 ; ;1200 ;1500 ; ; ;厦门 ;LV店员 ;LV店员 ;2015/10/17 ; ;双 ;1 ;0 ;0 ;1 
lv白色配深蓝色全皮休闲鞋40 ;旧BA0135新BG090 ;盒子 ; ;没有 ;2500 ; ; ;厦门 ;LV店员 ;LV店员 ;2015/10/17 ; ;双 ;1 ;0 ;0 ;1 
Balmain x h.m沙漠棕色靴子40 ;旧A0153新BG092 ;全套 ; ;1800 ;1999 ; ; ;厦门 ;颜（寄卖） ; ;2015/11/7 ; ;双 ;1 ;0 ;0 ;1 
mqueen黑面白底红跟40.5 ;旧A0195新BG094 ;盒子 防尘袋 ; ;3000 ;3600 ; ; ;厦门 ;颜（回收） ; ;2016/2/28 ; ;双 ;1 ;0 ;0 ;1 
全新 lv红色拼色绑带休闲鞋7 ;旧BA0197新BG096 ;盒子 防尘袋 ; ;1800 ;2600 ; ; ;厦门 ;店员寄卖 ; ;2016/3/27 ; ;双 ;1 ;0 ;0 ;1 
未使用 gucci女士黑色漆皮高 ;旧BA0249新BG099 ;鞋盒 防尘袋 配鞋钉 ; ;1000 ;1500 ; ; ;厦门 ;颜（翅膀寄卖） ; ;2016/6/7 ; ;双 ;1 ;0 ;0 ;1 
全新 cl黑色漆皮高跟鞋38 ;旧A0254新BG100 ;盒子 防尘袋 ; ;1000 ;2999 ; ; ;厦门 ;颜（寄卖） ; ;2016/7/6 ; ;双 ;1 ;0 ;0 ;1 
全新 dg女士黑白条纹尼龙面料渔 ;旧BA0257新BG101 ;无 ; ;1000 ;1999 ; ; ;厦门 ;护理店（寄卖） ; ;2016/7/14 ; ;双 ;1 ;0 ;0 ;1 
全新 cf女士一脚蹬休闲鞋37 ;旧BA0259新BG102 ;盒子 防尘袋 ; ;500 ;999 ; ; ;厦门 ;护理店（寄卖） ; ;2016/7/14 ; ;双 ;1 ;0 ;0 ;1 
全新 prada 男士宝石蓝松 ;旧BA0275新BG103 ;盒子 防尘袋 ; ;3500 ;4500 ;4000 ; ;厦门 ;颜（寄卖） ; ;2016/7/31 ; ;双 ;1 ;0 ;0 ;1 
全新 gz-gd合作款亮片一脚蹬 ;旧BA0292新BG104 ;防尘袋 吊牌 ; ;3000 ;3500 ;3000 ; ;厦门 ;颜（寄卖） ; ;2016/8/16 ; ;双 ;1 ;0 ;0 ;1 
全新 sw深灰色麂皮平底鞋 ;旧Bp270新BG105 ;鞋盒 ; ;1500 ;1999 ;1900 ; ;厦门 ;提香奢品工坊 ;提香奢品工坊 ;2016/10/27 ; ;双 ;1 ;0 ;0 ;1 
全新 woman by commo ;旧Bp272新BG106 ;鞋盒 防尘袋 纸卡 ; ;1500 ;1999 ;1900 ; ;厦门 ;琪琪 ;C01277 ;2016/10/29 ; ;双 ;1 ;0 ;0 ;1 
全新 stella松糕鞋37 ;旧Bp296新BG110 ;盒子防尘袋 ; ;3200 ;3999 ;3800 ;3600 ;厦门 ;猴子 ;猴子 ;2016/12/4 ; ;双 ;1 ;0 ;0 ;1 
全新 lv帆船系列人字拖41 ;旧Bp299新BG111 ;防尘袋 ; ;2530 ;2999 ;2900 ; ;厦门 ;颜寄卖 ;P0317 ;2016/12/20 ; ;双 ;1 ;0 ;0 ;1 
未使用 lv橘红色翻毛皮一脚蹬4 ;旧Bp301新BG112 ;防尘袋 ; ;2943 ;3500 ;3400 ; ;厦门 ;颜寄卖 ;P0317 ;2016/12/20 ; ;双 ;1 ;0 ;0 ;1 
全新 lv藏蓝色翻毛皮草编一脚蹬4 ;旧Bp302新BG113 ;防尘袋 ; ;2613 ;3200 ;3100 ; ;厦门 ;颜寄卖 ;P0317 ;2016/12/20 ; ;双 ;1 ;0 ;0 ;1 
全新 mcqueen白面黑尾休闲鞋 ;旧Bp306新BG118 ;盒子 防尘袋 ; ;2800 ;3300 ;3200 ;3200 ;厦门 ;颜寄卖 ;颜熙 ;2017/1/4 ; ;双 ;1 ;0 ;0 ;1 
未使用 prada黑色高筒长靴37 ;旧Bp255新BG120 ;无 ; ;1500 ;1999 ;1900 ; ;厦门 ;颜熹翅膀（寄卖） ;C00003 ;2016/10/13 ; ;双 ;1 ;0 ;0 ;1 
93新slp黑色手拿包 ;BE351 ;无 ; ;2500 ; ; ; ;上海 ;微信兰岚 ;C01120 ;（是）2017/2/13 ; ;个 ;1 ;0 ;0 ;1 
95新Valentino粉色铆钉皮质手环 ;BD004 ;盒子、配钉 ; ;1200 ;1380 ; ; ;上海 ; ; ;（是）2015/9/25 ; ;个 ;1 ;0 ;0 ;1 
98新施华洛世奇项链耳饰水晶套装 ;BD005 ;盒子、吊牌 ; ; ;1200 ;1100 ; ;上海 ; ;姐姐 ;2016/5/22 ; ;个 ;1 ;0 ;0 ;1 
【8.5新】 Hermes cdc红色牛皮手环 ;AD012 ;无 ; ;1500 ;3500 ; ; ;上海 ; ;C00739 ;（是）2016/1/19 ; ;个 ;1 ;0 ;0 ;1 
【9.5新】redline 红绳水钻小猴子 ;BD014 ;无 ; ;2300 ;2800 ;2700 ; ;上海 ; ;C00115 ;（是）2016/8/4 ; ;个 ;1 ;0 ;0 ;1 
95新宝格丽黄金手链 ;BD020 ;无 ; ;7000 ;7999 ;7600 ; ;上海 ; ;CC俞 ;（是）2016/9/22 ; ;个 ;1 ;0 ;0 ;1 
99新宝格丽戒指 18K玫瑰金 半密钻黑玛瑙戒指 ;BD022 ;盒子 保卡 ; ;34300 ; ; ; ;上海 ; ;elisa ;2016/9/14 ; ;个 ;1 ;0 ;0 ;1 
miumiu 耳环 ;BD033 ;盒子 ; ;1500 ; ; ; ;上海 ;提香 北京店 ;龙燕 ;（是）2016/10/27 ; ;个 ;1 ;0 ;0 ;1 
未使用菲拉格慕装饰手链 ;BD035 ;盒子 ; ;1000 ;1200 ;1200 ; ;上海 ;颜熹 ;颜熹 ;（是）2016/5/20 ; ;个 ;1 ;0 ;0 ;1 
95新tiffany 项链 ;BD048 ;防尘袋 盒子 原装袋 发票 ; ;600 ;800 ;800 ; ;上海 ;微信岚岚 ;C01302 ;2016/11/28 ; ;个 ;1 ;0 ;0 ;1 
二手tiffany925银戒指（52 1995） ;BD057 ;无 ; ;500 ;800 ; ; ;上海 ;颜（寄卖） ; ;（是）2016/5/13 ; ;个 ;1 ;0 ;0 ;1 
二手tiffany925银戒指（53） ;BD058 ;无 ; ;500 ;800 ; ; ;上海 ;颜（寄卖） ; ;（是）2016/5/13 ; ;个 ;1 ;0 ;0 ;1 
二手tiffany925银戒指（1997 56） ;BD059 ;无 ; ;500 ;800 ; ; ;上海 ;颜（寄卖） ; ;（是）2016/5/13 ; ;个 ;1 ;0 ;0 ;1 
二手tiffany925银戒指（1995 49） ;BD060 ;无 ; ;500 ;800 ; ; ;上海 ;颜（寄卖） ; ;（是）2016/5/13 ; ;个 ;1 ;0 ;0 ;1 
95新以上万宝龙14k金签字笔 ;AD068 ;无 ; ;1500 ;1999 ; ; ;上海 ;颜（回收） ; ;（是）2016/5/9 ; ;个 ;1 ;0 ;0 ;1 
爱马仕手环 ;BD073 ;盒子 ; ;600 ; ; ; ;上海 ;光头 ; ;（是）2017/2/7 ; ;个 ;1 ;0 ;0 ;1 
宝格丽银色三环54码 ;BD074 ;无 ; ;3000 ; ; ; ;上海 ;光头 ; ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
宝格丽银色四环61码 ;BD075 ;无 ; ;4000 ; ; ; ;上海 ;光头 ; ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
宝格丽银色两环56码 ;BD076 ;无 ; ;3800 ; ; ; ;上海 ;光头 ; ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
宝格丽银色三环54码 ;BD077 ;无 ; ;3600 ; ; ; ;上海 ;光头 ; ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
宝格丽银色一环59码 ;BD078 ;无 ; ;3400 ; ; ; ;上海 ;光头 ; ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
卡地亚PT950戒指51码 ;BD079 ;无 ; ;2500 ; ; ; ;上海 ;光头 ; ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
宝格丽金色4环50码 ;BD080 ;无 ; ;3500 ; ; ; ;上海 ;光头 ; ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
宝格丽金色3环49码 ;BD081 ;无 ; ;4100 ; ; ; ;上海 ;光头 ; ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
二手GUCCI 戒指59码 ;BD082 ;无 ; ;1800 ; ; ; ;上海 ;光头 ; ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
卡地亚玫瑰金50码 ;BD083 ;无 ; ;2000 ; ; ; ;上海 ;光头 ; ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
二手宝格丽4环戒指57码 ;BD084 ;无 ; ;4100 ; ; ; ;上海 ;光头 ; ;（是）2017/2/8 ; ;个 ;1 ;0 ;0 ;1 
卡地亚三色金戒指（51号） ;BD085 ;无 ;首饰 ;3600 ; ; ; ;上海 ;光头 ; ;2017/2/10 ; ;个 ;1 ;0 ;0 ;1 
卡地亚订婚戒指系列（56号） ;BD086 ;戒指盒（还有附件暂时未给） ;首饰 ;1500 ; ; ; ;上海 ;光头 ; ;（是）2017/2/10 ; ;个 ;1 ;0 ;0 ;1 
宝格丽白金黑玛瑙（55号） ;BD087 ;戒指盒 ; ;7600 ; ; ; ;上海 ;光头 ; ;（是）2017/2/10 ; ;个 ;1 ;0 ;0 ;1 
宝格丽黄金手绳（全新全套） ;BD088 ;盒子 证书 ; ;3700 ; ; ; ;上海 ;光头 ; ;（是）2017/2/10 ; ;个 ;1 ;0 ;0 ;1 
全新 lv女士时装项链 ;旧BA0162新AD090 ;盒子、防尘袋 ; ;1200 ;1300 ; ; ;厦门 ;公司（回收） ; ;2016/3/9 ; ;个 ;1 ;0 ;0 ;1 
全新 万宝龙宽版戒指 54 ;旧BA0215新BD091 ;盒子 说明书 ; ;15000 ;19999 ; ; ;厦门 ;颜（寄卖） ; ;2016/7/21 ; ;个 ;1 ;0 ;0 ;1 
95新 tiffany18k玫瑰金锁骨项链 ;旧BA0231新BD093 ;无 ; ;4000 ;4999 ; ; ;厦门 ;琪（寄卖） ;C01277 ;2016/10/29 ; ;个 ;1 ;0 ;0 ;1 
未使用 apm银饰手环 ;旧B1242新BD094 ;防尘袋 ; ;1500 ; ; ; ;厦门 ;琪（寄卖） ;C01239 ;2016/11/16 ; ;个 ;1 ;0 ;0 ;1 
全新 lv红色羊毛围巾 ;旧B0252新BH106 ;盒子 ; ;2400 ;2800 ;2800 ;2700 ;厦门 ;颜熙 ;颜熙 ;2017/2/15 ; ;个 ;1 ;0 ;0 ;1 
全新 lv限量动物园系列真丝衬衣xs ;BI054 ;无 ; ;9000 ;9999 ; ; ;厦门 ;微信颜熹 ;doris ;2017/2/14 ; ;个 ;1 ;0 ;0 ;1 
9新bally全皮手提单肩包36*16*16 ;BE361 ;防尘袋 ; ;1200 ;1500 ; ; ;厦门 ;颜熙 ;颜熙 ;2017-2-18 ; ;个 ;1 ;0 ;0 ;1 
93新 cl黄色漆皮铆钉手拿包30*17 ;BE362 ;无 ; ;1000 ;1200 ; ; ;厦门 ;颜熙 ;颜熙 ;2017-2-18 ; ;个 ;1 ;0 ;0 ;1 
全新 mcqueen白面黑尾休闲鞋 ;BG121 ;无 ; ;1800 ;2999 ;2800 ;2500 ;厦门 ;颜熙 ;颜熙 ;2017/2/18 ; ;双 ;1 ;0 ;0 ;1 
全新 hermes羊绒＋桑蚕丝双面围巾180*34 ;BH107 ;盒子 ; ;3500 ;3999 ;3900 ; ;厦门 ;颜熙 ;颜熙 ;2017/2/18 ; ;条 ;0 ;1 ;0 ;1 
全新 lv限量老花手提双肩包 30*16*44 ;BE365 ;防尘袋 ; ;16122 ;17000 ;16800 ;16700 ;上海 ;颜熙 ;颜熙 ;2017/2/22 ; ;个 ;0 ;1 ;0 ;1 
LV老花手提袋 ;BE367 ;防尘袋 ; ;7000 ; ; ; ;上海 ;颜熹 ;P0197 ;（是） ; ;个 ;1 ;0 ;0 ;1 
LV老花单肩斜挎包 ;BE368 ;防尘袋 ; ;6500 ; ; ; ;上海 ;颜熹 ;P0197 ;（是） ; ;个 ;1 ;0 ;0 ;1 
LV老花手提单肩包 ;BE370 ;防尘袋 肩带 纸卡 ; ;12000 ; ; ; ;上海 ;颜熹 ;P0197 ;（是） ; ;个 ;1 ;0 ;0 ;1 
gucci黑色手提包 ;BE371 ;防尘袋 纸卡 一块样皮 ; ;3500 ; ; ; ;上海 ;颜熹 ;P0197 ;（是） ; ;个 ;1 ;0 ;0 ;1 
LV老花手拿包 ;BF090 ;无 ; ;500 ;1000 ; ; ; ;光头 ;光头 ;2017/2/25 ; ;个 ;0 ;1 ;0 ;1 
Dior手提单肩包 ;BE374 ;无 ; ;2300 ; ; ; ;上海 ;协依洗护 ; ;（是） ; ;个 ;1 ;0 ;0 ;1 
全新 bv黑蓝拼色手环 ;BD103 ;防尘袋 ; ;500 ;999 ;999 ; ;厦门 ;微信颜熙 ;颜熙 ;2017/2/26 ; ;个 ;1 ;0 ;0 ;1 
爱马仕锁头包 ;BE378 ;防尘袋 锁 钥匙 ; ;7000 ; ; ; ;上海 ;微信兰岚 ;C01070 ; ; ;个 ;1 ;0 ;0 ;1 
全新 gucci新款花卉草编渔夫鞋 37 ;BG124 ;盒子 防尘袋 ; ;1000 ;1800 ;1700 ;1500 ;厦门 ;微信琪琪 ;C01115 ;2017/2/28 ; ;个 ;1 ;0 ;0 ;1 
全新 hermes方形丝巾 90*90 ;BH108 ;盒子 丝带 ; ;2000 ;2500 ;2500 ;2400 ;厦门 ;微信琪琪 ;C01115 ; ; ;个 ;1 ;0 ;0 ;1 
全新GUCCI皮带 ;BC0184 ;110 纸卡 防尘袋 ; ;2100 ;2500 ; ; ;上海 ;颜熹 ;P0542 ;（是）2017-03-04 ; ;个 ;1 ;0 ;0 ;1 
全新GUCCI皮带 ;BC0185 ;105 纸卡 防尘袋 ; ;2100 ;2500 ; ; ;上海 ;颜熹 ;P0542 ;（是）2017-03-04 ; ;个 ;1 ;0 ;0 ;1 
全新GUCCI皮带 ;BC0186 ;100 纸卡 防尘袋 ; ;2100 ;2500 ; ; ;上海 ;颜熹 ;P0542 ;2017-03-04 ; ;个 ;1 ;0 ;0 ;1 
全新GUCCI皮带 ;BC0187 ;105 纸卡 防尘袋 ; ;2100 ;2500 ; ; ;上海 ;颜熹 ;P0542 ;（是）2017-03-04 ; ;个 ;1 ;0 ;0 ;1 
全新GUCCI皮带 ;BC0188 ;105码 纸卡 防尘袋 ; ;2100 ;2500 ; ; ;上海 ;颜熹 ;P0542 ;（是）2017-03-04 ; ;个 ;1 ;0 ;0 ;1 
全新MCQUEEN围巾 ;BH133 ;吊牌 ; ;980 ;1500 ; ; ;上海 ;颜熹 ;P0542 ;（是）2017-03-04 ; ;个 ;1 ;0 ;0 ;1 
全新MCQUEEN围巾 蓝白 ;BH134 ;吊牌 ; ;980 ;1500 ; ; ;上海 ;颜熹 ;P0542 ;2017-03-04 ; ;个 ;1 ;0 ;0 ;1 
全新MCQUEEN围巾 ;BH135 ;灰蓝红头 吊牌 ; ;980 ;1500 ; ; ;上海 ;颜熹 ;P0542 ;2017-03-04 ; ;个 ;1 ;0 ;0 ;1 
全新MCQUEEN围巾 ;BH136 ;玫红色 绿头 ; ;980 ;1500 ; ; ;上海 ;颜熹 ;P0542 ;（是）2017-03-04 ; ;个 ;1 ;0 ;0 ;1 
全新 菲拉格慕黑色漆皮平底鞋 37.5 ;BG127 ;盒子 防尘袋 ; ;2250 ;2500 ;2500 ;2500 ;厦门 ;微信琪琪 ;C01232 ;2017/3/4 ; ;个 ;1 ;0 ;0 ;1 
CL休闲鞋 ;BG131 ;无 ; ;3000 ; ; ; ;上海 ;同行 ;提香 广州店 ;2017-03-05 ; ;个 ;1 ;0 ;0 ;1 
全新 gucci紫色高跟凉鞋 ;BG128 ;盒子 防尘袋 ; ;1000 ;1500 ; ; ;厦门 ;同行 ;米可家 ; ; ;个 ;1 ;0 ;0 ;1 
全新 hermes经典h扣蓝色耳环 ;BD106 ;盒子 ; ;1600 ;1999 ; ; ;厦门 ;同行 ;米可家 ; ; ;副 ;1 ;0 ;0 ;1 
全新菲拉格慕金头套装皮带 115 ;BC038 ;盒子 ; ;2600 ;2800 ; ; ;厦门 ;同行 ;米可家 ; ; ;套 ;1 ;0 ;0 ;1 
全新 gucci花卉长款拉链钱包 19*10 ;BF105 ;盒子 发票 手提袋 ; ;2700 ;3500 ; ; ;厦门 ;同行 ;米可家 ; ; ;个 ;1 ;0 ;0 ;1 
99新 ysl天蓝色手拿包 27*3*13 ;BE394 ;防尘袋 纸卡 配皮 ; ;3000 ;3999 ; ; ;厦门 ;同行 ;米可家 ; ; ;个 ;1 ;0 ;0 ;1 
二手ysl玫红色老款手拿包28*16 ;BE397 ;无 ; ;1700 ;2200 ;2100 ; ;厦门 ;同行 ;米可家 ; ; ;个 ;1 ;0 ;0 ;1 
二手 prada牛仔手提包40*21*28 ;BE398 ;防尘袋 身份卡 ; ;5500 ;5999 ;5900 ; ;厦门 ;同行 ;米可家 ; ; ;个 ;1 ;0 ;0 ;1 
二手 巴黎世家红色手提包37*15*20 ;BE400 ;防尘袋 镜子 肩带 ; ;2300 ;2800 ; ; ;厦门 ;同行 ;米可家 ; ; ;个 ;1 ;0 ;0 ;1 
hermes kelly红色手提包 ;BE402 ; ; ;32000 ; ; ; ;上海 ;琪琪 ;C00632 ;（是）2017-03-06 ; ;个 ;1 ;0 ;0 ;1 
未使用 chanel leboy黑银做旧油蜡皮链条包25*7 ;BE408 ;盒子 防尘袋 身份卡 发票 丝带 ; ;23000 ;25800 ; ; ;上海 ;微信颜熙 ; ;（是）2017/3/7 ; ;个 ;1 ;0 ;0 ;1 
二手 hermes toolbox牛奶盒 26*18*28 ;BE409 ;肩带 钥匙 锁 ; ;20000 ;22000 ; ; ;上海 ;同行 ;sivy ;（是）2017/3/7 ; ;个 ;1 ;0 ;0 ;1 
GUCCI蜜蜂鞋 ;Z00021 ; ; ;3500 ; ; ; ; ; ;P0354 ; ; ;个 ;1 ;0 ;0 ;1 
二手 93新 hermes herbag橘红色 31*10* ;BE413 ;防尘袋 锁 子袋 ; ;8500 ;9500 ; ; ;上海 ;微信琪琪 ; ;（是）2017/3/11 ; ;个 ;1 ;0 ;0 ;1 
MIUMIU黑色漆皮低跟鞋 ;BG134 ;盒子/防尘袋 ; ;800 ; ; ; ;上海 ;兰岚 ;C00184 ;（是）2017-03-18 ; ;个 ;1 ;0 ;0 ;1 
未使用 gucci紫色双g皮带 90 ;BC0189 ;无 ; ;1000 ;1500 ; ; ;厦门 ;微信琪琪 ;C01430 ;2017/3/21 ; ;条 ;1 ;0 ;0 ;1 
全新 prada黑色亮片高跟鞋 35（9.5cm） ;BG135 ;鞋盒 ; ;1000 ;1999 ; ; ;厦门 ;微信琪琪 ;C01430 ;2017/3/21 ; ;双 ;1 ;0 ;0 ;1 
LV 黑花短款钱夹 ;BF102 ; ; ;2500 ; ; ; ;上海 ;颜熹 ;C01424 ;2017-03-23 ; ;个 ;1 ;0 ;0 ;1 
二手 dior vip拼色手提包 32*11*22 ;BE430 ;子袋 身份卡 肩带 防尘袋 ; ;8600 ;9800 ; ; ;厦门 ;同行 ;米可家 ;2017/3/24 ; ;个 ;1 ;0 ;0 ;1 
二手chloe paraty浅蓝色手提30*13*18 ;BE432 ;肩带 身份卡 ; ;2600 ;2999 ; ; ;厦门 ;同行 ;米可家 ;2017/3/24 ; ;个 ;1 ;0 ;0 ;1 
二手 chanel拼色绑带休闲鞋 38 ;BG136 ;无 ; ;888 ;999 ; ; ;厦门 ;同行 ;米可家 ;2017/3/24 ; ;个 ;1 ;0 ;0 ;1 
二手 cl铆钉中邦鞋 37 ;BG137 ;防尘袋 ; ;2000 ;2500 ; ; ;厦门 ;同行 ;米可家 ;2017/3/24 ; ;个 ;1 ;0 ;0 ;1 
二手 sw流苏高跟鞋 36 ;BG138 ;防尘袋 ; ;1200 ;1800 ; ; ;厦门 ;同行 ;米可家 ;2017/3/24 ; ;个 ;1 ;0 ;0 ;1 
二手 cl亮片高跟凉鞋 35 ;BG139 ;无 ; ;1000 ;1500 ; ; ;厦门 ;同行 ;米可家 ;2017/3/24 ; ;个 ;1 ;0 ;0 ;1 
二手 菲拉格慕黑色高跟鞋 35.5 ;BG140 ;防尘袋 后跟钉 ; ;1200 ;1800 ; ; ;厦门 ;同行 ;米可家 ;2017/3/24 ; ;个 ;1 ;0 ;0 ;1 
二手 rv龙虾粉漆皮高跟鞋35 ;BG141 ;无 ; ;800 ;999 ; ; ;厦门 ;同行 ;米可家 ;2017/3/24 ; ;个 ;1 ;0 ;0 ;1 
二手 rv酒红色矮跟鞋 ;BG143 ;无 ; ;1200 ;1800 ; ; ;厦门 ;同行 ;米可家 ;2017/3/24 ; ;个 ;0 ;1 ;0 ;1 
二手潘多拉手链 ;BD133 ;盒子 手提袋 ; ;1100 ;1999 ; ; ;厦门 ;同行 ;米可家 ;2017/3/24 ; ;个 ;1 ;0 ;0 ;1 
chanel蓝色漆皮单肩包 ;BE434 ;防尘袋、身份卡 ; ;17000 ;22000 ; ; ;上海 ;维真奢品 ;维真奢品 ;（是）2017-03-24 ; ;个 ;1 ;0 ;0 ;1 
dior三格戴妃包 ;BE435 ;防尘袋 ; ;8000 ; ; ; ;上海 ;维真奢品 ;维真奢品 ;（是）2017-03-24 ; ;个 ;1 ;0 ;0 ;1 
LV车厘子色单肩包 ;BE436 ;防尘袋 ; ;6000 ; ; ; ;上海 ;维真奢品 ;维真奢品 ;（是）2017-03-24 ; ;个 ;1 ;0 ;0 ;1 
prada墨镜 ;BB056 ;盒子、眼镜盒、眼镜布、纸卡 ; ;700 ; ; ; ;上海 ;岚岚 ;C00694 ;2017-03-24 ; ;个 ;1 ;0 ;0 ;1 
亚历山大王 ;BG144 ; ; ;1000 ; ; ; ;上海 ;岚岚 ;C00694 ;2017-03-24 ; ;个 ;1 ;0 ;0 ;1 
潘多拉手链 ;BD134 ;盒子/擦拭布 ; ;1200 ; ; ; ;上海 ;颜熹 ;C01109 ;（是）2017-03-27 ; ;个 ;1 ;0 ;0 ;1 
95新紫红色LV多用途包 ;BE455 ;防尘袋 肩带 ; ;11000 ; ; ; ;上海 ;维真奢品 ;维真奢品 ;（是） ; ;个 ;1 ;0 ;0 ;1 
95新表经28cm卡地亚蓝气球间金手表 ;BA037 ;保卡 盒子 说明书 ; ;26000 ; ; ; ;上海 ;维真奢品 ;维真奢品 ; ; ;个 ;1 ;0 ;0 ;1 
爱马仕钱包 ;BF106 ;鉴定证书 盒子 ; ;18000 ; ; ; ;上海 ;兰岚 ;维真奢品 ;（是） ; ;个 ;1 ;0 ;0 ;1 
BV领带 ;BH139 ;标签 ; ;500 ; ; ; ;上海 ;兰岚 ;C00482 ;（是） ; ;个 ;1 ;0 ;0 ;1 
BV领带 ;BH140 ;标签 ; ;500 ; ; ; ;上海 ;兰岚 ;C00482 ;（是） ; ;个 ;1 ;0 ;0 ;1 
